Time (UTCG),Position (x),Position (y),Position (z)
1 Oct 2025 06:58:00.000,-1962.8149422157342,870.1856282722409,6534.442911568249
1 Oct 2025 06:58:10.000,-2006.778583737126,930.3320690706875,6512.7668442746335
1 Oct 2025 06:58:20.000,-2050.349572579716,990.4702602564005,6490.288589335497
1 Oct 2025 06:58:30.000,-2093.421204057338,1050.6277025800805,6467.03785578406
1 Oct 2025 06:58:40.000,-2136.1486862486104,1110.8022093982763,6442.965004084933
1 Oct 2025 06:58:50.000,-2178.360202589599,1170.882623795637,6418.145322284988
1 Oct 2025 06:59:00.000,-2220.2330240595034,1231.0547617666118,6392.486236837615
1 Oct 2025 06:59:10.000,-2261.619728137258,1291.1498692377268,6366.067800399478
1 Oct 2025 06:59:20.000,-2302.5247525305267,1351.1888996044836,6338.886199056669
1 Oct 2025 06:59:30.000,-2342.942222571294,1411.203309523101,6310.937730039079
1 Oct 2025 06:59:40.000,-2383.026527154003,1471.167834875782,6282.169978777712
1 Oct 2025 06:59:50.000,-2422.5445585473435,1531.0548811601602,6252.675994101362
1 Oct 2025 07:00:00.000,-2461.706510471942,1590.9518661875647,6222.353634468537
1 Oct 2025 07:00:10.000,-2500.258267522953,1650.6560362351252,6191.352965290005
1 Oct 2025 07:00:20.000,-2538.4630293514147,1710.3682404726987,6159.517584461131
1 Oct 2025 07:00:30.000,-2576.1523967109974,1769.9528886460575,6126.9500937080165
1 Oct 2025 07:00:40.000,-2613.3381385223056,1829.3967512563352,6093.651007332251
1 Oct 2025 07:00:50.000,-2649.9957960479746,1888.7365658552294,6059.620950628117
1 Oct 2025 07:01:00.000,-2686.2129291656865,1948.0303804629602,6024.802825485031
1 Oct 2025 07:01:10.000,-2721.8861403158617,2007.0589075805078,5989.312030478344
1 Oct 2025 07:01:20.000,-2757.1147087206837,2066.041773142273,5953.032760360381
1 Oct 2025 07:01:30.000,-2791.804708492524,2124.922940178498,5916.023927808544
1 Oct 2025 07:01:40.000,-2826.058509294535,2183.563566261865,5878.286726257213
1 Oct 2025 07:01:50.000,-2859.6717912681665,2242.057061939492,5839.885775587231
1 Oct 2025 07:02:00.000,-2892.907907587572,2300.393361696434,5800.696949889907
1 Oct 2025 07:02:10.000,-2925.510654200051,2358.5610484503886,5760.849479623525
1 Oct 2025 07:02:20.000,-2957.6636131960404,2416.487673392403,5720.281679926988
1 Oct 2025 07:02:30.000,-2989.2622915538086,2474.294554231703,5678.9952999057
1 Oct 2025 07:02:40.000,-3020.3356593109925,2531.783036658915,5637.060844738865
1 Oct 2025 07:02:50.000,-3050.9231330981065,2589.207326035439,5594.34404743732
1 Oct 2025 07:03:00.000,-3080.86047355519,2646.2961540041765,5551.056059143033
1 Oct 2025 07:03:10.000,-3110.3890362591674,2703.2114522299344,5506.989988976551
1 Oct 2025 07:03:20.000,-3139.331305743879,2759.853432728829,5462.29062515535
1 Oct 2025 07:03:30.000,-3167.704655163548,2816.1964506198547,5416.963438518392
1 Oct 2025 07:03:40.000,-3195.546508676147,2872.334016029172,5370.939161613261
1 Oct 2025 07:03:50.000,-3222.8688004403116,2928.2423757455717,5324.220405139573
1 Oct 2025 07:04:00.000,-3249.615550220923,2983.835557783166,5276.886702445522
1 Oct 2025 07:04:10.000,-3275.815979838046,3039.2105270294733,5228.866063526576
1 Oct 2025 07:04:20.000,-3301.46740640755,3094.2261762567878,5180.240190743819
1 Oct 2025 07:04:30.000,-3326.530222826196,3148.9188624122544,5131.0150387050235
1 Oct 2025 07:04:40.000,-3351.081380460477,3203.3300592466785,5081.115946740568
1 Oct 2025 07:04:50.000,-3375.0105407682063,3257.4369470092925,5030.627786977542
1 Oct 2025 07:05:00.000,-3398.447948010429,3311.2229778741266,4979.474165443285
1 Oct 2025 07:05:10.000,-3421.2247847834005,3364.7270305891357,4927.742031279794
1 Oct 2025 07:05:20.000,-3443.528380521722,3417.8727082124306,4875.353293990264
1 Oct 2025 07:05:30.000,-3465.2488200582748,3470.641234002999,4822.396940057888
1 Oct 2025 07:05:40.000,-3486.396551887239,3523.0156456508016,4768.8794469654285
1 Oct 2025 07:05:50.000,-3506.919667524059,3575.040537031528,4714.807350530469
1 Oct 2025 07:06:00.000,-3526.8829292360115,3626.759082483023,4660.099245149011
1 Oct 2025 07:06:10.000,-3546.299780104361,3678.034973310707,4604.848041097123
1 Oct 2025 07:06:20.000,-3565.170883693549,3728.972163015703,4548.9707458789935
1 Oct 2025 07:06:30.000,-3583.39344874401,3779.4404919315393,4492.652759672655
1 Oct 2025 07:06:40.000,-3601.017960304721,3829.6030731274323,4435.720643354167
1 Oct 2025 07:06:50.000,-3618.1827517638,3879.3188823457967,4378.178812756949
1 Oct 2025 07:07:00.000,-3634.65625735885,3928.587427444312,4320.217921282073
1 Oct 2025 07:07:10.000,-3650.61733872698,3977.443699688324,4261.659719405964
1 Oct 2025 07:07:20.000,-3665.951972775174,4025.882229575171,4202.603569753697
1 Oct 2025 07:07:30.000,-3680.7859102626894,4073.880112678481,4142.96119197007
1 Oct 2025 07:07:40.000,-3694.957738493076,4121.380728620323,4082.929923578038
1 Oct 2025 07:07:50.000,-3708.5698943401667,4168.479003961845,4022.325382227756
1 Oct 2025 07:08:00.000,-3721.580084999056,4215.109284120815,3961.2503598497983
1 Oct 2025 07:08:10.000,-3733.9946401645284,4261.259913182931,3899.7122459141406
1 Oct 2025 07:08:20.000,-3745.863999068934,4306.970066340887,3837.6192766467734
1 Oct 2025 07:08:30.000,-3757.148813912424,4352.176464930271,3775.0766979770315
1 Oct 2025 07:08:40.000,-3767.855613306374,4396.867992776985,3712.092066792697
1 Oct 2025 07:08:50.000,-3777.99098097571,4441.033728087638,3648.67298199221
1 Oct 2025 07:09:00.000,-3787.483317986993,4484.729016417089,3584.8270840678188
1 Oct 2025 07:09:10.000,-3796.4556152584573,4527.924695539236,3520.4593946563614
1 Oct 2025 07:09:20.000,-3804.754876913812,4570.581752362854,3455.7822948927956
1 Oct 2025 07:09:30.000,-3812.5444309593204,4612.717414181252,3390.597593673001
1 Oct 2025 07:09:40.000,-3819.79158546498,4654.274494974134,3325.015782230084
1 Oct 2025 07:09:50.000,-3826.3393773608386,4695.376688377116,3259.044729052827
1 Oct 2025 07:10:00.000,-3832.473556757812,4735.857695894707,3192.5865245319
1 Oct 2025 07:10:10.000,-3837.882079761007,4775.8211426346525,3125.860141842264
1 Oct 2025 07:10:20.000,-3842.8052673446036,4815.210030371988,3058.661358010846
1 Oct 2025 07:10:30.000,-3847.045664757634,4854.106111507053,2991.1040311161273
1 Oct 2025 07:10:40.000,-3850.777137030061,4892.366396047324,2923.1962369055623
1 Oct 2025 07:10:50.000,-3853.920851870873,4930.049295457607,2854.9460831371107
1 Oct 2025 07:11:00.000,-3856.5687378760003,4967.079020252145,2786.361708220992
1 Oct 2025 07:11:10.000,-3858.582340248067,5003.619410501271,2717.3415767049323
1 Oct 2025 07:11:20.000,-3859.9942716066303,5039.518918142727,2648.1127872167085
1 Oct 2025 07:11:30.000,-3860.8670879755227,5074.843794612974,2578.4636798768397
1 Oct 2025 07:11:40.000,-3861.17729477639,5109.5485114584735,2508.5122479786155
1 Oct 2025 07:11:50.000,-3860.9304917962336,5143.625248530001,2438.2668089166864
1 Oct 2025 07:12:00.000,-3860.1322875481496,5177.0663647231595,2367.7357046959046
1 Oct 2025 07:12:10.000,-3858.6974132857345,5209.931715437035,2296.9273025550797
1 Oct 2025 07:12:20.000,-3856.721430937516,5242.146505271367,2225.849992744808
1 Oct 2025 07:12:30.000,-3854.232334469401,5273.733887797169,2154.398822082142
1 Oct 2025 07:12:40.000,-3851.190726160194,5304.625086739413,2082.8085624024075
1 Oct 2025 07:12:50.000,-3847.6461115272627,5334.872935265592,2010.8605653106445
1 Oct 2025 07:13:00.000,-3843.4885950140188,5364.507334885153,1938.6767162032847
1 Oct 2025 07:13:10.000,-3838.7037353399114,5393.494836597026,1866.380431145314
1 Oct 2025 07:13:20.000,-3833.5240080463345,5421.748868705745,1793.7508543643592
1 Oct 2025 07:13:30.000,-3827.65191056672,5449.436238165421,1720.9110817194876
1 Oct 2025 07:13:40.000,-3821.3775217199773,5476.349938812151,1647.8697058978426
1 Oct 2025 07:13:50.000,-3814.516351831249,5502.617353584821,1574.6353360455412
1 Oct 2025 07:14:00.000,-3807.073267738363,5528.232150279087,1501.2165974840254
1 Oct 2025 07:14:10.000,-3799.164274972555,5553.142321157396,1427.5053954923258
1 Oct 2025 07:14:20.000,-3790.669427851237,5577.366171809886,1353.7435930892675
1 Oct 2025 07:14:30.000,-3781.706466617642,5600.853276963839,1279.8233989899327
1 Oct 2025 07:14:40.000,-3772.195422080855,5623.68150815848,1205.636017460879
